company,tweet,created_at,likes,retweets,replies,ratio
DIS,"Iger says they will continue to listen to guests and adjust when it comes to things at the Disney Parks.

$DIS",2023-03-09 18:14:54+00:00,24,6,4,0.133333333
DIS,"$DIS Says Linking Sports Betting With Programming Is `Inevitable' 

$DKNG $PENN $WYNN $CZR",2023-03-09 18:14:52+00:00,22,4,1,0.038461538
DIS,"Iger: Disney is a brand that needs to be accessible. We have to be smarter how we price. 

$DIS",2023-03-09 18:14:26+00:00,13,4,7,0.411764706
DIS,Bob Iger says that he feels Disney needs to be a brand that is accessible.  $DIS live blog: https://t.co/DBgCqcXoL5,2023-03-09 18:14:19+00:00,7,2,3,0.333333333
DIS,"Iger: It’s a great business and it’s proven how resilient it is (on the Parks). 

$DIS",2023-03-09 18:13:40+00:00,7,2,8,0.888888889
DIS,"Iger says it’s inevitable that ESPN will become a direct-to-consumer business. 

$DIS",2023-03-09 18:11:07+00:00,6,2,8,1
DIS,"Iger says ESPN’s ratings have held up nicely considering the erosion of the platform they are on. 

$DIS",2023-03-09 18:10:45+00:00,5,2,0,0
DIS,"Bob Iger also hyped up ELEMENTAL and INDIANA JONES AND THE DIAL OF DESTINY. 

$DIS",2023-03-09 18:08:28+00:00,11,2,10,0.769230769
DIS,Bob Iger says he saw a clip of #StarWars #TheAcolyte and he was very impressed. The show will be released in 2024… https://t.co/T0RC7tjvAu,2023-03-09 18:08:10+00:00,16,7,2,0.086956522
DIS,"Bob Iger got a clip from THE ACOLYTE last night and says that it looks brilliant. 

$DIS",2023-03-09 18:07:28+00:00,16,6,18,0.818181818
DIS,"Bob Iger also teased the return of the AVENGERS franchise with an all new Avengers team. Very brief not too much there. 

$DIS",2023-03-09 18:06:56+00:00,20,3,19,0.826086957
DIS,Bob Iger says they have to look at how many times they go back to the well with Marvel. Meaning more new characters… https://t.co/pGFGDtqSz7,2023-03-09 18:06:26+00:00,22,4,15,0.576923077
DIS,"Bob Iger hypes THE LITTLE MERMAID, and talks about #Disney100.

$DIS",2023-03-09 18:05:15+00:00,11,1,6,0.5
DIS,"Iger also confirms branded content would stay in-house. That wouldn’t be licensed to third parties. 

$DIS",2023-03-09 18:03:31+00:00,11,3,3,0.214285714
DIS,Bob Iger says there will be opportunities to license to third parties if Disney gets to a point where they don’t ne… https://t.co/mDuXuU4A84,2023-03-09 18:03:30+00:00,11,3,9,0.642857143
DIS,Bob Iger says content can exist on the traditional platform and streaming platform as well. He cites… https://t.co/FDVlZh3owg,2023-03-09 18:01:34+00:00,16,3,0,0
DIS,"Iger: We are definitely thinking about windowing and exclusivity between our own platforms. 

$DIS",2023-03-09 18:00:31+00:00,7,3,4,0.4
DIS,"Iger: There is huge buy-in from the senior team on the need to reduce costs. 

$DIS",2023-03-09 17:58:57+00:00,4,2,4,0.666666667
DIS,"Iger: There is so much consumer choice right now. 

$DIS",2023-03-09 17:57:32+00:00,4,1,5,1
DIS,"Iger: It’s a tricky period of time (on the streaming era). 

$DIS",2023-03-09 17:57:03+00:00,4,1,3,0.6
DIS,🔥 LOVE Disney's Bob Iger calling BS on his industry peers all saying they are going to have profitable streaming bu… https://t.co/3S8KgDKayY,2023-03-09 17:56:52+00:00,11,3,12,0.857142857
DIS,"Iger: We own 2/3 of Hulu. We are studying the business very carefully. It’s a solid platform. 

$DIS",2023-03-09 17:55:51+00:00,8,3,4,0.363636364
DIS,"Regarding #DisneyPlus, Iger says that marketing was not as efficient as it should be. He says they spent too much a… https://t.co/kuUPRHqQDM",2023-03-09 17:53:34+00:00,13,3,15,0.9375
DIS,"$DIS CEO says the company ""has a lot of rationalization to do"" on Disney+ prices",2023-03-09 17:53:00+00:00,21,3,15,0.625
DIS,"Iger: There needs to be a direct connection between what’s being spent and what’s being earned. 

$DIS",2023-03-09 17:52:03+00:00,8,3,5,0.454545455
DIS,"Disney Has `A Lot of Rationalization’ to Do on Disney+ Prices 

Disney Has to Look at Unfavorable Promotional Price… https://t.co/Jdw5nQPApg",2023-03-09 17:50:56+00:00,20,3,22,0.956521739
DIS,Iger: The flow of production to the platform (Disney+) hasn’t been even. (Iger cites the pandemic and how it broke… https://t.co/TUe91mnAgA,2023-03-09 17:50:45+00:00,8,3,6,0.545454545
DIS,"Iger: We have to better rationalize our cost and attract more subs. 

$DIS",2023-03-09 17:48:25+00:00,6,2,0,0
DIS,TODAY ….. 2 PM $TSLA $AAPL $DIS $ULTA @TDANetwork  ! https://t.co/OibJ0LuGBR,2023-03-09 17:43:09+00:00,78,7,69,0.811764706
DIS,"$AABB is going to be the next $GNS 

@AsiaBroadband @GoldenBaboons 

$AABBG $BTC $AMC $APE $GME $META $DIS $AAPL… https://t.co/XdmIjcPy0L",2023-03-09 13:26:55+00:00,22,3,20,0.8
DIS,Really wish #DisneyPlus decided to randomly spotlight the Disney Júnior hub because $DIS is shutting the channel do… https://t.co/Us7DVMawWQ,2023-03-09 10:31:39+00:00,5,1,0,0
DIS,"🐭 $DIS is why🅱️Jordan🥈
🅰️#Superstar🌟
How🤷‍♂️many guys can pulls this off?

In a boxing🥊movie, he wears
this green o… https://t.co/Z280lwWkEp",2023-03-09 05:20:59+00:00,4,1,0,0
DIS,"ESPN’s competitors can leverage the ESPN brand for their own gain. $DIS $CMCSA $WBD $PARA $FOXA
 
The LightShed Pod… https://t.co/7v97cdSTyY",2023-03-09 01:00:43+00:00,5,2,5,0.714285714
DIS,"Some of the best “sales” out there right now. You’ll look back at these prices and wish you bought more.

$AAPL at… https://t.co/Ay1kXKzErB",2023-03-08 20:51:44+00:00,719,83,785,0.978802993
DIS,"Florida’s new #ReedyCreek board “hinted Wednesday at future controversial actions they may take, including prohibit… https://t.co/Rt8ekHfIZD",2023-03-08 20:16:55+00:00,15,7,3,0.136363636
DIS,"Dear @CEOAdam👨🏼‍💼
I’m scheduled✌🏼#2C💺
🥊@creedmovie🎞#atAMC💺Again
My 2nd @TIME🕰 $DIS 🐭Week

🅰️crispally, this’ll be m… https://t.co/tN0QmXapVS",2023-03-08 20:05:59+00:00,22,5,8,0.296296296
DIS,Next $DIS superhero: https://t.co/aVYTUaf1mX,2023-03-08 20:03:33+00:00,7,1,5,0.625
DIS,"Obviously, important news for $DOLE and $DIS lovers.

Disney's famous Dole Whip is no longer limited to theme parks… https://t.co/aYUfxUQGa2",2023-03-08 18:18:36+00:00,5,1,0,0
DIS,"#BreakingNews: $SANP @santoblockchain 

Santo Blockchain Labs Provides Update on Project CHIMBA… https://t.co/1pMvnwLvwN",2023-03-08 16:27:00+00:00,5,5,9,0.9
DIS,"Looking forward to @Lin_Manuel's new music.

$DIS https://t.co/IH7Hf373iD",2023-03-08 16:16:46+00:00,15,3,0,0
DIS,"#BreakingNews: $SANP @santoblockchain 

Santo Blockchain Labs Provides Update on Project CHIMBA… https://t.co/y4dHsUrcPL",2023-03-08 15:27:00+00:00,5,1,2,0.333333333
DIS,"We covered so many earnings in this podcast, it's ridiculous 😂
🛢️ $ENB.TO $TRP.TO 
👟 $VFC
🚗 $MG.TO
👨‍🏭 $MMM
💾 $INTC… https://t.co/YPbhFbK8ks",2023-03-08 14:07:37+00:00,11,1,8,0.666666667
DIS,Happy Wednesday. Hope you all have a wonderful day today and a great big beautiful tomorrow #Disney #Disney100… https://t.co/jHiZqBWyPK,2023-03-08 14:04:03+00:00,12,3,4,0.266666667
DIS,What happened to $DIS? https://t.co/PrGSaLshdV,2023-03-08 12:38:33+00:00,14,1,4,0.266666667
DIS,"Today's #ShortInterest updated in $TSLA, $BBIG, $RIDE, $BBBY, $VSAT, $PTON, $MMAT, $CS, $ATER, $TRKA, $SOFI, $WSM,… https://t.co/Gz307H2qxT",2023-03-08 12:17:23+00:00,9,1,3,0.3
DIS,"💥MID-WEEK VIDEO 3/8: https://t.co/9R68gB7P1U

$VIX $TLT $TNX $DXY $GLD $BTC_F $CL_F $XLE $XLF $XLU $D $VZ $ES_F… https://t.co/zLrXCXcxEP",2023-03-08 06:47:20+00:00,3,3,6,1
DIS,"If this is NOT a mistake, then $DIS has unlocked a brand new era for the long-running HBO / Fox Output deal. As you… https://t.co/drDh1RDdnE",2023-03-08 02:54:32+00:00,4,2,6,1
DIS,"I don't know what commissioner Adam Silver is getting paid, but he's not getting any @NBA equity, and companies lik… https://t.co/rDTXFxBpRn",2023-03-07 18:15:06+00:00,6,2,5,0.625
DIS,"On today's @Sporticast episode, @soshnick and @novy_williams discuss whether $DIS (or some other public company) co… https://t.co/7spXYTG0f1",2023-03-07 18:12:48+00:00,4,2,0,0
DIS,"Morgan Stanley recently recommended 13 tech stocks:

$AMZN, $AAPL, $AMD, $MSFT, $DIS, $WMG, $PANW, $GLBE, $TOST,… https://t.co/94emXWqV4u",2023-03-07 17:22:18+00:00,11,1,12,1
DIS,"LONG $DIS call. 
Swing for april

Re-added at Divergence. lets see https://t.co/l6ETmIVW1L",2023-03-07 16:52:43+00:00,8,1,8,0.888888889
DIS,"Today's #ShortInterest updated in $TSLA, $BBIG, $RIDE, $BBBY, $VSAT, $PTON, $MMAT, $CS, $ATER, $TRKA, $SOFI, $WSM,… https://t.co/HivEwYDt3Q",2023-03-07 12:03:44+00:00,8,1,8,0.888888889
DIS,"The AABB Exchange is up and running. DEFI for the win! 

@AsiaBroadband @GoldenBaboons @AABBgoldcrypto 

$AABB… https://t.co/IBNOLp1kPO",2023-03-07 10:41:16+00:00,33,5,0,0
DIS,"Dig into the UPCOMING🔥 &amp; Highly Anticipated Projects implementing #zkRollup #zkEVM Tech into their Platform⛓️🛡️

Th… https://t.co/sluLlQgupk",2023-03-07 09:57:10+00:00,200,80,176,0.628571429
